관광지명,주소,공공편익시설정보,주차가능수,소개,관리기관전화번호,위도,경도
전남대학교용지,광주광역시 북구 용봉동 81-2,화장실+주차장,1000,,062-530-5114,35.17388133,126.9111447
맥문동숲길,광주광역시 북구 문흥동 1012,화장실+주차장,30,,062-971-6467,35.18561007,126.9216152
용봉초록습지,광주광역시 북구 용봉동 1027,화장실+주차장,50,,062-971-6467,35.18332703,126.8898185
추사박물관,경기도 과천시 추사로 78,도로+주차장+화장실,33,,02-2150-3650,37.4530047663,127.0287157
순천만국가정원,전라남도 순천시 국가정원1호길 47,"ATM, 의료센터, 체험학습센터, 공중전화, 물품대여소, 물품보관소, 분실물보관소, 종합안내소, 매표소, 수유실, 어린이보호소, 노약자/장애인 보호소, 대형버스기사쉼터",3530,,061-749-2910,34.92888588,127.4999591
순천만습지,전라남도 순천시 순천만길 513-25(대대동),"순천만쉼터, 공예·특산품관, 안내소,유모차대여,양산대여",600,,061-749-6052,34.88553578,127.5096727
낙안읍성,전라남도 순천시 낙안면 충민길 30(동내리),"주차장, 화장실, 음수대, 매표소, 관광안내소, 전시가옥, 체험장, 자료관, 교통통제소",565,,061-749-8840,34.90632579,127.3417663
드라마촬영장,전라남도 순천시 비례골길 24(조례동),"화장실,수유실",170,,061-749-4540,34.9583743,127.5381867
뿌리깊은나무박물관,전라남도 순천시 낙안면 평촌3길 45,"박물관 쉼터, 물품보관소, 매표소, 안내데스크",40,,061-749-8855,34.9036464,127.3399827
송광사,전라남도 순천시 송광면 송광사안길 100,쉼터,300,,061-755-0107,35.00680596,127.2761941
춘장대,충청남도 서천군 서면 춘장대길 20,종합안내소+주차장+화장실+취사장,300,,041-950-4091,36.16334922,126.5243355
태조산관광지,충청남도 천안시 동남구 태조산길 261,주차장,300,,041-550-2520,36.82207666,127.1889559
삼성궁,경상남도 하동군 청암면 삼성궁길 2,화장실(2동)+주차장,100,,055-884-1279,35.2387009275,127.7054287916
하동야생차박물관,경상남도 하동군 화개면 쌍계로 571-25,화장실(2동)+주차장,50,,055-880-2956,35.2277321517,127.6426921460
빛가람호수공원전망대,전라남도 나주시 호수로 77,화장실,104,,061-333-1501,35.0152195,126.7811718
천안종합휴양관광지,충청남도 천안시 동남구 성남면 종합휴양지로 200,주차장,500,,041-906-7000,36.75731215,127.2240961
순천컨트리클럽,전라남도 순천시 별량면 동화사길 85,골프장,150,,061-720-0000,34.86653556,127.4059214
부영컨트리클럽,전라남도 순천시 해룡면 신대로 188,ATM,150,,061-816-5533,34.94005246,127.5555065
서동요역사관광지,충청남도 부여군 충화면 충신로 618,관리사무소+주차장+화장실,150,,041-830-2222,36.145896,126.824678
백제문화관광단지,충청남도 부여군 규암면 백제문로 400,주차장+화장실,3000,,041-830-2222,36.303913,126.900639
은파관광지,전라북도 군산시 은파순환길9 (나운동),관리사무소+화장실+주차장+잔디관장,982,,063-454-3362,35.95536227,126.6890748
금강호관광지,전라북도 군산시 성산면 철새로 120,주차장+광장+화장실+관리사무소,1055,,063-454-3344,36.0198785573,126.7653058
농월정,경상남도 함양군 안의면 농월정길 9-35,도로+주차장+관리사무소+화장실,150,,055-960-4520,35.62464301,127.7815571
문수산성,경기도 김포시 월곶면 성동리 산50,월곶면사무소,0,,031-980-2482,37.7429948,126.5467533
김포함상공원,경기도 김포시 대곶면 대명항1로 110-36,대곶면행정복지센터,100,,031-980-2489,37.6406387,126.539261
덕포진,경기도 김포시 대곶면 덕포진로103번길 90,대곶면사무소,10,,031-980-2482,37.6506248,126.5387862
덕포진교육박물관,경기도 김포시 대곶면 덕포진로103번길 90,대곶면사무소,10,,031-980-2482,37.6506248,126.5387862
다도박물관,경기도 김포시 월곶면 애기봉로275번길 187-49,월곶면사무소,50,,031-980-2482,37.7375035,126.5744366
산토끼노래동산,경상남도 창녕군 이방면 이방로 623,안내소(매표소)+주차장+화장실,195,,055-530-1534,35.5777232620,128.3835799595
광주광역시공원&광주광역시향교,광주광역시 남구 중앙로 107번길 15,화장실+주차장,50,,062-672-0660,35.14707323,126.9100957
포충사,광주광역시 남구 포충로 767,화장실+주차장,50,,062-374-4212,35.08945325,126.8484326
광주광역시어린이교통공원,광주광역시 북구 임방울대로 877,화장실+주차장+관광안내소,150,,062-972-0054,35.21837394,126.8544969
국립광주광역시과학관,광주광역시 북구 첨단과기로 235,화장실+주차장,200,,062-960-6210,35.22990781,126.8498705
국립광주광역시박물관,광주광역시 북구 하서로 110,화장실+주차장+관광안내소,200,,062-570-7000,35.18965658,126.8839515
김대중 컨벤션센터,광주광역시 서구 상무누리로 30,화장실+주차장+관광안내소,1000,,062-611-2000,35.14677706,126.8404805
역사문화공원,광주광역시 광산구 왕버들로 331,주차장+화장실+관광안내소,50,,062-960-8711,35.19467258,126.8452966
국립나주박물관,전라남도 나주시 반남면 고분로 747,"화장실, 회의실",200,,061-330-7885,34.9144962,126.6574509
영산포 역사갤러리,전라남도 나주시 영산3길 17 영산포,화장실,-,,061-331-1755,35.0006914,126.7093485
나주복암리고분전시관,전라남도 나주시 다시면 백호로 287,화장실,56,,061-337-0090,34.9961663,126.6538838
일본인근대가옥,전라남도 나주시 예향로 3869-4,화장실,2,,061-334-7726,35.0009356,126.7112913
안면도 관광지(꽃지지구),충청남도 태안군 안면읍 승언리 339-586,"화장실, 주차장, 상하수도시설, 관광안내소,가로등",555,,041-635-3891,36.502545,126.335955
초당관광지,강원도 삼척시 근덕면 미근로 1629,광장+주차장,140,,033-570-3547,37.37650408,129.2047561
구드래관광지,충청남도 부여군 부여읍 구교리 17-4,광장+선착장+조각공원,300,,041-830-2222,36.287127,126.907274
왜목마을 관광지,충청남도 당진시 석문면 왜목길 26,"화장실, 주차장, 공연장 보유",150,,041-350-3592,37.04443421,126.5261293
난지도 관광지,충청남도 당진시 석문면 난지도리 599,"화장실 , 주차장, 관리사무소, 어린이놀이시설",115,,041-350-3592,37.042646,126.422393
구드래,충청남도 부여군 부여읍 백강로 135,문화관광해설사의 집+화장실+주차장,1000,,041-830-2214,36.28711854,126.9048797
서동요,충청남도 부여군 충화면 충신로 616,"화장실, 주차장, 청소년수련원, 축구장,농구장 등",500,,041-830-2214,36.145203,126.8236629
백제문화단지,충청남도 부여군 규암면 백제문로 455,"화장실, 주차장, 안내소, 관리사무소",1381,,041-408-7290,36.30757158,126.9084946
춘장대해수욕장,충청남도 서천군 서면 춘장대길 20,관리사무소+화장실(8동)+주차장2동,700,,041-950-4091,36.16334922,126.5243355
칠갑산 도림온천,충청남도 청양군 장평면 적곡리 471-8,관리사무소+터미널+주차장+오수처리장+광장,191,,041-940-2492,36.389488,126.906103
남당,충청남도 홍성군 서부면 남당리 859-2,관광안내소+화장실+주차장,408,,041-630-1254,36.539203,126.471666
예당관광지,충청남도 예산군 응봉면 후사리 448-1,관리사무소+화장실(3동)+주차장(3개소)+휴게소(1개소)+야외공연장,421,,041-339-7303,36.63752257,126.7989717
덕산온천,충청남도 예산군 덕산면 온천단지2로 11,관리사무소+화장실(3동)+주차장(3개소)+족욕장(1개소),1000,,041-339-7304,36.69075649,126.659382
만리포해수욕장 관광지,충청남도 태안군 소원면 모항리 1395,"주차장(2개소), 공중화장실(5개소), 상하수도시설, 관광안내소(1동), 가로등, 경관조명가로등",342,,041-670-2771,36.783122,126.143469
장호관광지,강원도 삼척시 근덕면 삼척로 2154,관리사무소+주차장,800,,033-570-3547,37.2868038,129.3079336
신정호국민관광지,충청남도 아산시 신정로 616,"관리사무소,화장실,주차장,변전실",670,,041-540-8725,36.7715214106,126.9839151707
아산온천관광지,충청남도 아산시 송악면 도송로632번길 138,"관리사무소,화장실,주차장,일반광장",350,,041-540-2689,36.6988475905,126.9666068657
나주영상테마파크,전라남도 나주시 공산면 덕음로 450,화장실,800,,061-335-7008,34.9789507,126.5995011
남파고택,전라남도 나주시 금성길 13,화장실,20,,061-332-6100,35.0306171,126.716220
반남고분군,전라남도 나주시 반남면 고분로 756,화장실,100,,061-336-1151,34.914685,126.6591998
백호문학관,전라남도 나주시 다시면 회진길 8,화장실,20,,061-335-5008,34.996891,126.6647524
안동문화관광지,안동시 관광단지로 346-30 (성곡동),"주차장,관리사무소,수변공원 등",458,,054-840-5817,36.5695076,128.7786154
이바구공작소,부산광역시 동구 망양로486번길 14-13,없음,4,,051-440-4815,35.11709964,129.0338233
장기려더나눔센터,부산광역시 동구 영초윗길 48,없음,2,,051-440-4815,35.11853593,129.0326526
이바구충전소,부산광역시 동구 영초윗길 25,없음,0,,051-440-4815,35.1173502804,129.0346860290
168계단 부대시설,부산광역시 동구 영초윗길26번길 14,없음,0,,051-440-4815,35.11769766,129.0353474
김민부전망대,부산광역시 동구 영초윗길26번길 14,없음,0,,051-440-4815,35.11769766,129.0353474
유치환의 우체통,부산광역시 동구 망양로580번길 2,없음,0,,051-440-4815,35.12209542,129.0338423
소흥관(한중우호센터),부산광역시 동구 초량중로 36,없음,0,,051-440-4815,35.11507608,129.0375502
만화체험관,부산광역시 동구 성북로 42-1,없음,2,,051-440-4815,35.1377804133,129.0497943616
안용복기념 부산포개항문화관,부산광역시 동구 증산로 100,없음,0,,051-440-4815,35.13563677,129.0529467
좌천동굴,부산광역시 동구 고관로185번길 1,없음,0,,051-440-4815,35.13325838,129.0522683
남당,충청남도 홍성군 서부면 남당리 859-2,관광안내소+화장실+주차장,408,,041-630-1300,36.539203,126.471666
삽교호 관광지,충청남도 당진시 신평면 삽교천3길 79,"화장실, 주차장, 공연장, 근린시설 보유",1000,,041-350-3592,36.89060981,126.8244092
간절곶 공원,울산광역시 울주군 서생면 간절곶해안길 205,주차장+화장실,580,,052-204-1753,35.3625312,129.3591079
명승 거창 수승대,경상남도 거창군 위천면 은하리길 2,관리사무소+취사장+화장실+관광안내소,483,,055-940-8532,35.760923,127.8336763
가조온천,경상남도 거창군 가조면 온천길161,관리사무소+주차장+공원,168,,055-940-3443,35.69875771,128.0231044
공룡박물관,전라남도 해남군 황산면 공룡박물관길 234,"휴게실, 매점",500,,061-530-5941,34.58908885,126.442833
송정자연휴양림,경상북도 칠곡군 석적읍 반계3길 88,관리사무실+화장실+주차장+야영장+숙박시설+샤워장+취사장,100,,054-979-6000,36.023332,128.441641
회산백련지,전라남도 무안군 일로읍 백련로 333,"화장실, 주차장, 전기시설, 통신시설, 상하수도시설, 매표소",563,,061-450-5863,34.86034808,126.5300096
하회관광지,안동시 풍천면 전서로 206,관리사무소 주차장 매표소 화장실 등,500,,054-840-5820,36.5489594,128.5274931
어답산관광지,강원도 횡성군 갑천면 어답산로 516,"캠핑장, 계곡",400,,033-340-5981,37.59380861,128.0575207
주남저수지,경상남도 창원시 의창구 동읍 주남로 101번길 26,관리사무소+화장실+주차장+전망대+생태학습관+람사르문화관,44,,055-225-3481,35.30732964,128.6779306
마금산온천,경상남도 창원시 의창구 북면 천주로 1167,화장실+주차장+족욕장+쉼터,910,,055-225-3641,35.35464845,128.6094168
창원과학체험관,경상남도 창원시 성산구 충혼로 72번길 16,화장실+주차장+카페테리아,106,,055-267-2676,35.230268,128.6617774
마산해양레포츠센터,경상남도 창원시 마산합포구 제2부두로 56,강의실+탈의실+화장실,0,,055-712-0454,35.19796654,128.5759021
웅천도요지전시관,경상남도 창원시 진해구 두동도요로 198,화장실+주차장+체험공방,30,,055-225-6851,35.12738997,128.8155983
진해해양레포츠센터,경상남도 창원시 진해구 천자로 160,주차장+화장실+탈의실+샤워실+강의실,27,,055-712-0445,35.14129989,128.6883002
수동관광지,경기도 남양주시 수동면 비룡로 1635,몽골문화촌,119,,031-559-8018,37.75797919,127.2753596
산청전통한방휴양관광지,경상남도 산청군 금서면 동의보감로555번길 45-6,6개소,200,,055-970-6633,35.44106575,127.8293609
산청중산관광지,경상남도 산청군 시천면 지리산대로 525,6개소,165,,055-970-7222,35.29329703,127.7549296
산청금서관광지,경상남도 산청군 금서면 친환경로 1715,1개소,100,,055-970-7222,35.394237,127.847052
구)나주역,전라남도 나주시 죽림길 26,N,16,,061-330-7823,35.0280742,126.7240915
노안천주교회,전라남도 나주시 노안면 이슬촌길 108,화장실,10,,061-336-8900,35.1035406,126.6729169
나주시천연염색박물관,전라남도 나주시 다시면 백호로 379,화장실,80,,061-335-0091,34.9941709,126.660678
나주목문화관,전라남도 나주시 금성관길 15,화장실,100,,061-332-5432,35.0322924,126.7135485
중흥골드스파&리조트,전라남도 나주시 다도면 나주호로 558-314,화장실,3000,,061-339-5000,34.9482971,126.8692314
마이산도립공원 일원,전라북도 진안군 마령면 마이산남로 182,"화장실(6개소), 파고라,NFC(8개소)",862,,063-430-8752,35.757066,127.393795
용담호및주변시설,전라북도 진안군 안용로 793,"휴게소 및 망향의동산(6개소), 화장실(5개소)",100,,063-430-4263,35.946973,127.525991
운장산자연휴양림,전라북도 진안군 정천면 휴향림길 77,"도로, 관리사무소, 공중화장실3개소, 오수처리장",200,,063-432-1193,35.895328,127.425691
데미샘자연휴양림,전라북도 진안군 백운면 데미샘1길 172,"도로, 관리사무소, 공중화장실2개소, 오수처리장",100,,063-290-6991,35.651308,127.464888
칠곡보오토캠핑장,경상북도 칠곡군 약목면 강변서로 110-43,전기시설+상하수도시설+화장실+샤워장,100,,054-974-7997,36.020591,128.394566
진안고원치유의숲,전라북도 진안군 봉학로 171-22,"도로, 관리사무소, 공중화장실3개소, 오수처리장",100,,063-433-1666,35.885974,127.403479
가위박물관,전라북도 진안군 진안읍 마이산로 258,"전시실, 수장고, 사무실, 뮤지업숍",100,,063-430-8745,35.766161,127.414949
창원단감테마공원,경상남도 창원시 의창구 동읍 동읍로 359번길 27,화장실+주차장+파고라+초가동,80,,055-225-5581,35.29915488,128.6632468
창원의집,경상남도 창원시 의창구 사림로 16번길 59,관광안내소+화장실+주차장,40,,055-284-2600,35.24444959,128.6813533
오수의견관광지,전라북도 임실군 오수면 충효로 2096-16,관리사무소+화장실,0,,063-640-2941,35.54520338,127.3326779
사선대관광지,전라북도 임실군 관촌면 사선2길 68-7,관리사무소+화장실등,0,,06-640-2921,35.672357,127.2746265
쌍근어촌체험마을,경상남도 거제시 남부면 남부해안로 1094,화장실+ 샤워장+ 취사장,30,,055-635-6238,34.762399,128.589438
씨라인,경상남도 거제시 덕포5길 32-3,화장실,50,,055-688-2351,34.91111602,128.7102346
오션어드벤처,경상남도 거제시 일운면 거제대로 2660,화장실+ 샤워장,30,,1588-4888,34.843791,128.702943
옥포대첩기념공원,경상남도 거제시 팔랑포2길 87,화장실,50,,055-639-8129,34.902196,128.714059
조선해양문화관,경상남도 거제시 일운면 지세포해안로 41,화장실,30,,055-639-8270,34.833694,128.701885
지심도,경상남도 거제시 일운면 지심도길 56-12,화장실,20,,055-639-4193,34.820647,128.751037
칠천량해전공원,경상남도 거제시 하청면 칠천로 265-39,화장실,40,,055-639-8250,34.977629,128.628247
포로수용소유적공원,경상남도 거제시 계룡로 61,화장실,100,,055-639-0625,34.87637998,128.625371
거제해금강,경상남도 거제시 남부면 갈곶리 산 1,없음,0,,055-639-3404,34.732851,128.683858
외도,경남 거제시 일운면 외도길 17,화장실,0,,055-681-4541,34.769507,128.711805
공곶이,경상남도 거제시 일운면 와현리 87,없음,50,,055-639-4183,34.799878,128.715007
김영삼전대통령생가기록전시관,경상남도 거제시 장목면 옥포대첩로 743,화장실,15,,055-639-8290,34.931413,128.715439
문동휴양지,경상남도 거제시 문동동 산 8,화장실,50,,055-639-4183,34.859998,128.664094
대운산 내원암 계곡,울산광역시 울주군 온양읍 대운상대길 382,화장실+주차장,500,,052-204-2343,35.39913422,129.2309807
가산산성,경상북도 칠곡군 동명면 남원리 32-78,사무실+주차장+화장실,200,,054-880-8334,36.021011,128.590851
가산산성야영장,경상북도 칠곡군 동명면 한티로 1034,사무실+화장실,220,,054-880-8300,36.016197,128.618108
구상문학관,경상북도 칠곡군 왜관읍 구상길 191,사무실+화장실+주차장,10,,054-973-0039,35.983943,128.394568
다부동전적기념관,경상북도 칠곡군 가산면 호국로 1486,관리사무실+화장실+주차장,150,,054-973-6313,36.046443,128.518875
칠곡호국평화기념관,경상북도 칠곡군 석적읍 강변대로 1580,식당+화장실+수유실+사무실,300,,054-979-5502,36.017918,128.404032
칠곡양떼목장,경상북도 칠곡군 지천면 창평로 209-42,사무실+주차장+화장실+양떼목장,100,,054-972-8833,35.984545,128.488740
가산수피아,경상북도 칠곡군 가산면 학하들안2길 105,관리실+야영장+수영장+사계절썰매장+공룡뜰+배움뜰+미술관,500,,054-971-9861,36.086109,128.485044
국립칠곡숲체원,경상북도 칠곡군 석적읍 유학로 532,관리실+숲체원+체험장,100,,054-977-8773,36.063539,128.466183
태조산,충청남도 천안시 동남구 유량동 22-1,주차장+화장실,200,,041-521-2772,36.82207666,127.1889559
곰나루,충청남도 공주시 웅진동 347,관리사무소+주차장+화장실(1동)+수영장+활터+박물관,1137,,041-840-8561,36.46658989,127.1075716
마곡사관광지,충청남도 공주시 사곡면 운암리 731-2,"관광안내소,화장실,주차장,전기차충전기,운동장",290,,041-840-8088,36.555956,127.020175
마곡온천관광지,충청남도 공주시 사곡면 온천길 53,"관리사무소, 화장실3, 주차장, 하수처리장",1086,,041-840-8068,36.54396787,127.0122224
공주문화관광지,충청남도 공주시 웅진동 533,아트센터+이벤트광장+주차장+마을회관,1592,,041-840-8049,36.462397,127.104615
신정호관광지,충청남도 아산시 신정로 616,"관리사무소, 화장실3동, 주차장, 야외음악당, 바비큐장",153,,041-540-2822,36.77152186,126.9839153
아산온천관광지,충청남도 아산시 음봉면 아산온천로157번길 67,"주차장, 공원, 숙박시설 등",300,,041-540-2822,36.85530263,126.9782463
간월도관광지,충청남도 서산시 부석면 간월도리 680,"화장실, 주차장, 전기시설, 통신시설, 상하수도시설, 관광안내소",509,,041-660-2373,36.605751,126.417111
부례관광지,경상북도 고령군 우곡면 우곡강변길 672,"관리사무실(매표소) 1동, 개수대, 야외음수대",29,,054-955-2332,35.67179721,128.3596243
한국코미디타운,경상북도 청도군 이서면 이서로 565,주차장+화장실,27,,054-372-8700,35.69358881,128.6863121
소싸움테마파크,경상북도 청도군 화양읍 남성현로 346,화장실+쉼터,45,,054-373-2076,35.68529236,128.724138
청도레일바이크,경상북도 청도군 청도읍 하지길 46-51,화장실,100,,054-373-2426,35.58811543,128.7661723
청도자전거공원,경상북도 청도군 청도읍 유호리 39-15,화장실+공원,50,,054-373-2425,35.58765883,128.7653536
청도신화랑풍류마을,경상북도 청도군 운문면 운문로 2455,주차장+화장실,219,,054-370-7300,35.71807519,128.9223074
새마을운동발상지기념공원,경상북도 청도군 청도읍 새마을1길 34,기념관+공원,100,,054-372-5500,35.60019163,128.7661495
청도소싸움경기장,경상북도 청도군 화양읍 남성현로 348,의무실+수유실+식당+초보고객안내실+종합안내소,850,,054-370-7500,35.68673395,128.7251463
와인터널,경상북도 청도군 화양읍 송금길 100,화장실,100,,054-371-1904,35.71513567,128.7205341
프로방스 포토랜드,경상북도 청도군 화양읍 이슬미로 272-20,없음,300,,054-372-5050,35.68355077,128.7188703
고래불관광지,경상북도 영덕군 병곡면 병곡리 72-8,관리사무소(2동)+주차장+화장실(6동)+샤워장(5동)+하계휴양소+취사동(4동),1000,,054-730-6513,36.600476,129.410658
장사해수욕장관광지,경상북도 영덕군 남정면 동해대로 3592,관리사무소+주차장+화장실(3동)+샤워장(2동)+광장,297,,054-730-6513,36.2824187049,129.3755938472
예천포리관광지,경상북도 예천군 감천면 복골길 150,주차장+화장실+휴게공간,150,,054-650-6394,36.70015808,128.514204
예천삼강,경상북도 예천군 풍양면 삼강리길 53-23,"도로, 마당, 종합안내센터, 주차장, 공급처리시설, 화장실",100,,054-650-6035,36.5637839295,128.3045089577
금마관광지,전라북도 익산시 금마면 고도9길 41-14,광장+안내시설+화장실+주차장+만남의장,451,,063-0859-5827,36.0015063,127.0570781
미륵사지관광지,전라북도 익산시 금마면 미륵사지로 362,주차장+광장+안내소+화장실,150,,063-0859-5827,36.011542323,127.0287138606
왕궁보석테마 관광지,전라북도 익산시 왕궁면 호반로 8,주차장+광장+관광안내시설,236,,063-0859-5827,35.9906127926,127.1025486315
웅포관광지,전라북도 익산시 웅포면 강변로 25,주차장+화장실+샤워장+취사장및음수대,100,,063-0859-5827,36.0658139063,126.8754192725
운일암반일암,전라북도 진안군 주천면 동상주천로 1924,"도로, 관리사무소, 공중화장실 7개소, 오수처리장",500,,063-430-2554,35.979875,127.396028
대가야생활촌,경상북도 고령군 대가야읍 신남로 81,"관리사무실 1동(매표소), 고객쉼터(1동), 수유실(2동), 기념품판매점(1동), 공중화장실(3동), 문화관광안내소 및 복식체험존(1동), 연못 1개소, 어린이 놀이터 1개소, 물놀이시설 1개소, 전시관 3개소",198,,054-950-7180,35.7118532,128.269244
대가야역사테마관광지,경상북도 고령군 대가야읍 대가야로 1216,"관리사무실(매표소) 및 기념품판매점 1동, 수유실(1동), 공중화장실(2동), 문화관광안내소(1동), 연못 1개소, 어린이놀이터 1개소, 물놀이시설 1개소, 음악분수",178,,054-950-7005,35.72008263,128.2596761
청도박물관,경상북도 청도군 이서면 이서로 567,화장실+주차장+고고역사관+민속관+전시실+어린이체험실,40,,054-370-2282,35.6942561,128.6865383
바람의언덕,경상남도 거제시 남부면 갈곶리 산14-47,화장실,150,,055-639-4183,34.742256,128.662967
우제봉전망대,경남 거제시 남부면 갈곶리 산2-16,없음,200,,055-639-4793,34.732023,128.673563
청마기념관,경상남도 거제시 둔덕면 방하2길 6,화장실,20,,055-635-8340,34.854887,128.517123
씨월드,경상남도 거제시 일운면 지세포해안로 15,화장실,30,,055-682-0330,34.835848,128.701478
알로에테마파크,경상남도 거제시 거제면 거제남서로 3937,화장실,30,,055-632-9907,34.835716,128.560282
노을이물드는언덕,경상남도 거제시 사등면 창호리 1475,화장실,10,,055-639-4183,34.954616,128.519341
가조수협효시공원,경상남도 거제시 사등면 가조서로 7,화장실,20,,055-639-8341,34.929516,128.525144
백룡동굴,강원도 평창군 미탄면 문희길 63,"화장실, 세면장",40,,033-330-2746,37.27786356,128.577051
화순온천,전라남도 화순군 백아면 옥리길 14-7,관리사무소+공중화장실+온천공+배수지+단지내도로 등,536,,061-379-3532,35.1624699,127.0837781
이효석문화예술촌,강원도 평창군 봉평면 효석문학길 73-25,화장실,250,,033-330-2746,37.61317426,128.3701239
마하생태관광지,강원도 평창군 미탄면 마하리 일원,주차장,199,,033-330-2746,37.2924471,128.5419693
천안종합휴양,충청남도 천안시 동남구 성남면 종합휴양지로 185,주차장+화장실,1334,,041-521-5159,36.75613028,127.2248886
천안 골드힐카운티 리조트 관광단지,충청남도 천안시 서북구 입장면 기로3길 162,관리사무소+주차장,3093,,041-521-5159,36.89202245,127.2484702
성기동,전라남도 영암군 군서면 왕인로 440,비지터센터+화장실(9동)+주차장,860,,061-470-6653,34.75653201,126.6291224
마한문화,전라남도 영암군 시종면 남해당로 65,비지터센터+화장실(3동)+주차장,85,,061-470-6672,34.89539241,126.5859196
영산호관광지,전라남도 영암군 삼호읍 녹색로 653-11,관리사무소+화장실(8동)+주차장,375,,061-462-2798,34.776135,126.4577774
한려수도조망케이블카,경상남도 통영시 발개로 205,화장실+카페+음식점+휴게공간,206,,055-649-3804,34.82665041,128.4251243
한산도 제승당,경상남도 통영시 한산면 한산일주로 70,화장실+휴게소,0,,055-254-4483,34.79264032,128.4759648
통영루지,경상남도 통영시 발개로 178,화장실,350,,055-650-0621,34.82440908,128.4241617
박경리기념관,경상남도 통영시 산양읍 산양중앙로 173,화장실,23,,055-650-2541,34.802301,128.4035792
해저터널,경상남도 통영시 당동 1-3,관광안내소,0,,055-650-0514,34.83609021,128.4116979916
장사도해상공원,경상남도 통영시 한산면 장사도길 55,화장실+카페+음식점+휴게공간,0,,055-650-0514,34.71373747,128.5588706
통영시립박물관,경상남도 통영시 중앙로 65,화장실+카페+음식점+휴게공간,32,,055-650-4515,34.84075153,128.4167887
삼도수군통제영,경상남도 통영시 세병로 27,화장실,140,,055-645-3805,34.84715495,128.423489
춘천호반(삼악산),강원도 춘천시 서면 경춘로 1401-25,도로+관리사무소 2동+주차장+화장실 3동+오수처리장+배수지,202,,033-250-3075,37.825714,127.659368
청평사,강원도 춘천시 북산면 오봉산길 622,도로+주차장+하수처리장 1동+관리사무소 2동+매표소 2동+화장실 3동+다목적광장,162,,033-250-3714,37.983441,127.818301
구곡폭포,강원도 춘천시 남산면 강촌구곡길 254,관리사무소 1동+주차장+공중화장실 4동+주륜장+오수처리장+배수지+도로,242,,033-250-3668,37.797033,127.615852
